Date,Close,High,Low,Open,Volume,Ticker,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
,NVDA,NVDA,NVDA,NVDA,NVDA,,MSFT,MSFT,MSFT,MSFT,MSFT,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,AMZN,AMZN,AMZN,AMZN,AMZN,AMD,AMD,AMD,AMD,AMD,AVGO,AVGO,AVGO,AVGO,AVGO
2021-05-27,15.44905948638916,15.710400841238286,15.421130006657025,15.66027712813999,581476000.0,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-28,16.203659057617188,16.236577036281336,15.46202947906416,15.46202947906416,644536000.0,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-01,16.223604202270508,16.34704373015847,15.863262605463245,16.22909116453109,472804000.0,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-02,16.736068725585938,16.876216524208118,16.194683808700496,16.21139203355558,594168000.0,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-03,16.927085876464844,17.215609998459154,16.541308933559474,16.65876306621484,580008000.0,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-04,17.534061431884766,17.61660182614419,17.05252506393666,17.06948062344339,617120000.0,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-07,17.574703216552734,17.76771725198459,17.149526305796652,17.52707469646401,575756000.0,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-08,17.41311264038086,17.57719836078649,17.207629259933416,17.483185585690848,323848000.0,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-09,17.31857681274414,17.534832519599075,17.216312069425967,17.47571805921768,381656000.0,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-10,17.385173797607422,17.452022006490658,17.136744250662534,17.310346354499423,287772000.0,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-11,17.784513473510742,17.898253261934265,17.40388509556701,17.439552830587203,416308000.0,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-14,17.977567672729492,17.998270294606797,17.622382309836595,17.865076259269316,321376000.0,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-15,17.747846603393555,17.97507688775737,17.687485674890738,17.874058585520746,243032000.0,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-16,17.76954460144043,17.91371508228744,17.54431057593765,17.75009034027756,307124000.0,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-17,18.614612579345703,18.79195600704923,17.71567253718677,17.7338803438254,809656000.0,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-18,18.59615135192871,19.330718581922177,18.54152604115206,18.74106970383863,968856000.0,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-21,18.3851318359375,18.49413314969242,17.782013688431867,18.39311297230315,672384000.0,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-22,18.843585968017578,18.920411562226604,18.34398078046078,18.429286096445225,580144000.0,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-23,19.013694763183594,19.108977447011597,18.86453654386818,18.964308379906097,332356000.0,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24,19.161605834960938,19.375616025449478,19.044623366172903,19.183806109567367,320924000.0,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-25,18.987499237060547,19.301281162469362,18.85131184134657,19.23642920608654,278364000.0,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-28,19.9393253326416,20.03286106908621,19.274847095565143,19.317000214420624,495436000.0,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-29,19.980979919433594,20.052813964606784,19.612073999620787,19.837058731492426,367632000.0,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-30,19.956785202026367,20.116419372850345,19.81835223637548,19.953542508047825,326568000.0,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,20.16579818725586,20.409239920963575,19.973238565674507,20.078997163229392,480136000.0,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-02,20.440176010131836,20.458385715167392,20.241382131269432,20.39353374130317,342764000.0,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-06,20.65119171142578,20.794363107269312,20.303738226115755,20.690102132517197,446708000.0,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-07,20.325191497802734,20.827291472702445,20.28553319651976,20.80584097500275,418428000.0,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-08,19.857267379760742,20.08699060864963,19.6557293339287,19.811123681241913,503300000.0,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-09,20.004423141479492,20.03435525988892,19.709100137865747,19.916874216592717,296624000.0,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-12,20.465621948242188,20.48582408605355,20.141613226484793,20.193743724149126,321984000.0,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-13,20.203716278076172,20.414483746196098,20.06802744154041,20.353871638255328,290708000.0,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-14,19.7961483001709,20.371081261605372,19.707602218648773,20.31121893436614,380100000.0,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-15,18.922897338867188,19.801634818144596,18.815393689452353,19.766465680127965,550564000.0,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-16,18.119489669799805,19.113213454930996,18.03169146133854,18.987003411331106,688224000.0,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-19,18.736831665039062,18.99848131527796,17.82466976343855,17.874307343819012,749060000.0,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-20,18.5694637298584,18.794947062988875,18.12248763276061,18.687194083624995,434687000.0,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-21,19.365638732910156,19.482371910572084,18.69916616251025,18.83884558672833,371017000.0,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-22,19.54921531677246,19.84154489775066,19.23194135404066,19.597105941674148,323826000.0,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-23,19.513303756713867,19.654979435423797,19.206007080146577,19.611079366488564,195672000.0,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-26,19.249906539916992,19.39756711649879,18.870773917905094,19.266867886400917,203943000.0,NVDA,,,,,,,,,,,,,,,,,,,,,,,,,
