model_key,prediction_window,feature_group,target_cutoff,model,settings,threshold,accuracy,balanced_accuracy,f1_up,train_rows,test_rows,split_date
focused|7d|Logistic Regression|C=1.5,7,price_volume_only,0.005,Logistic Regression,C=1.5,0.5,0.4001196172248804,0.5060380329457365,0.10044843049327354,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=300, max_depth=None, min_samples_leaf=5",7,price_volume_only,0.005,Random Forest,"n_estimators=300, max_depth=None, min_samples_leaf=5",0.4,0.5364832535885168,0.5058139534883721,0.6290090952608903,6698,1672,2025-03-03
focused|7d|Logistic Regression|C=0.75,7,price_volume_only,0.005,Logistic Regression,C=0.75,0.5,0.4001196172248804,0.5057412790697675,0.10205908683974933,6698,1672,2025-03-03
focused|7d|Logistic Regression|C=1,7,price_volume_only,0.005,Logistic Regression,C=1,0.5,0.4001196172248804,0.5057412790697675,0.10205908683974933,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=200, max_depth=None, min_samples_leaf=3",7,price_volume_only,0.005,Random Forest,"n_estimators=200, max_depth=None, min_samples_leaf=3",0.43,0.5233253588516746,0.5052446705426357,0.6013006503251626,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=300, max_depth=None, min_samples_leaf=5",7,price_volume_only,0.005,Random Forest,"n_estimators=300, max_depth=None, min_samples_leaf=5",0.43,0.5179425837320574,0.5050387596899225,0.5891946992864424,6698,1672,2025-03-03
focused|7d|Logistic Regression|C=10,7,price_volume_only,0.005,Logistic Regression,C=10,0.4,0.4742822966507177,0.5046875,0.46823956442831216,6698,1672,2025-03-03
focused|7d|Logistic Regression|C=2,7,price_volume_only,0.005,Logistic Regression,C=2,0.5,0.39832535885167464,0.5042877906976745,0.09694793536804308,6698,1672,2025-03-03
"focused|7d|Decision Tree|max_depth=5, min_samples_leaf=20",7,price_volume_only,0.005,Decision Tree,"max_depth=5, min_samples_leaf=20",0.5,0.4061004784688995,0.5040576550387597,0.1520068317677199,6698,1672,2025-03-03
"focused|7d|Decision Tree|max_depth=5, min_samples_leaf=10",7,price_volume_only,0.005,Decision Tree,"max_depth=5, min_samples_leaf=10",0.5,0.4049043062200957,0.5039789244186046,0.14445399828030955,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=100, max_depth=None, min_samples_leaf=5",7,price_volume_only,0.005,Random Forest,"n_estimators=100, max_depth=None, min_samples_leaf=5",0.43,0.5191387559808612,0.5039304748062016,0.5935288169868554,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=200, max_depth=None, min_samples_leaf=5",7,price_volume_only,0.005,Random Forest,"n_estimators=200, max_depth=None, min_samples_leaf=5",0.4,0.5352870813397129,0.5036579457364341,0.6291169451073986,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=300, max_depth=8, min_samples_leaf=5",7,price_volume_only,0.005,Random Forest,"n_estimators=300, max_depth=8, min_samples_leaf=5",0.4,0.5328947368421053,0.5035004844961241,0.6243386243386243,6698,1672,2025-03-03
focused|7d|Logistic Regression|C=5,7,price_volume_only,0.005,Logistic Regression,C=5,0.5,0.39712918660287083,0.5027252906976745,0.0967741935483871,6698,1672,2025-03-03
focused|7d|Logistic Regression|C=10,7,price_volume_only,0.005,Logistic Regression,C=10,0.5,0.39593301435406697,0.5014595445736434,0.09498207885304659,6698,1672,2025-03-03
"focused|7d|Decision Tree|max_depth=2, min_samples_leaf=5",7,price_volume_only,0.005,Decision Tree,"max_depth=2, min_samples_leaf=5",0.43,0.6172248803827751,0.5,0.7633136094674556,6698,1672,2025-03-03
"focused|7d|Decision Tree|max_depth=2, min_samples_leaf=10",7,price_volume_only,0.005,Decision Tree,"max_depth=2, min_samples_leaf=10",0.43,0.6172248803827751,0.5,0.7633136094674556,6698,1672,2025-03-03
"focused|7d|Decision Tree|max_depth=2, min_samples_leaf=10",7,price_volume_only,0.005,Decision Tree,"max_depth=2, min_samples_leaf=10",0.4,0.6172248803827751,0.5,0.7633136094674556,6698,1672,2025-03-03
"focused|7d|Decision Tree|max_depth=2, min_samples_leaf=5",7,price_volume_only,0.005,Decision Tree,"max_depth=2, min_samples_leaf=5",0.4,0.6172248803827751,0.5,0.7633136094674556,6698,1672,2025-03-03
"focused|7d|Decision Tree|max_depth=2, min_samples_leaf=10",7,price_volume_only,0.005,Decision Tree,"max_depth=2, min_samples_leaf=10",0.5,0.3827751196172249,0.5,0.0,6698,1672,2025-03-03
"focused|7d|Decision Tree|max_depth=2, min_samples_leaf=5",7,price_volume_only,0.005,Decision Tree,"max_depth=2, min_samples_leaf=5",0.5,0.3827751196172249,0.5,0.0,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=100, max_depth=None, min_samples_leaf=5",7,price_volume_only,0.005,Random Forest,"n_estimators=100, max_depth=None, min_samples_leaf=5",0.4,0.5316985645933014,0.49689316860465116,0.6297872340425532,6698,1672,2025-03-03
"focused|7d|Decision Tree|max_depth=3, min_samples_leaf=5",7,price_volume_only,0.005,Decision Tree,"max_depth=3, min_samples_leaf=5",0.5,0.3839712918660287,0.4950339147286822,0.040968342644320296,6698,1672,2025-03-03
"focused|7d|Decision Tree|max_depth=3, min_samples_leaf=20",7,price_volume_only,0.005,Decision Tree,"max_depth=3, min_samples_leaf=20",0.5,0.3839712918660287,0.4950339147286822,0.040968342644320296,6698,1672,2025-03-03
"focused|7d|Decision Tree|max_depth=3, min_samples_leaf=10",7,price_volume_only,0.005,Decision Tree,"max_depth=3, min_samples_leaf=10",0.5,0.3839712918660287,0.4950339147286822,0.040968342644320296,6698,1672,2025-03-03
"focused|7d|Decision Tree|max_depth=5, min_samples_leaf=10",7,price_volume_only,0.005,Decision Tree,"max_depth=5, min_samples_leaf=10",0.4,0.555622009569378,0.4910489341085271,0.6804301075268817,6698,1672,2025-03-03
"focused|7d|Decision Tree|max_depth=5, min_samples_leaf=20",7,price_volume_only,0.005,Decision Tree,"max_depth=5, min_samples_leaf=20",0.4,0.555622009569378,0.4910489341085271,0.6804301075268817,6698,1672,2025-03-03
