ticker,date,avg_sentiment_score,avg_relevance_score,article_count
AMD,2026-05-27,0.15569447368421052,0.6380671052631579,19
AMD,2026-05-28,0.19345483870967742,0.665472806451613,31
AMZN,2026-05-27,0.12765092307692308,0.7366624615384615,13
AMZN,2026-05-28,0.18319308333333334,0.7316710555555556,36
AMZN,2026-05-29,0.433087,1.0,1
AVGO,2026-05-26,0.132127,0.6340946666666666,6
AVGO,2026-05-27,0.29431141666666666,0.7599627916666667,24
AVGO,2026-05-28,0.19080015,0.609882,20
GOOGL,2026-05-27,0.1284457391304348,0.7154408695652174,23
GOOGL,2026-05-28,0.16182640740740742,0.6875894074074075,27
MSFT,2026-05-27,-0.035158000000000016,0.5930886666666667,3
MSFT,2026-05-28,0.17397495744680852,0.699335829787234,47
NVDA,2026-05-28,0.22328898,0.6890345999999999,50
